"year","CU","spawners","recruits"
1982,"4 - Loughborough",51013.3741307143,66770.6574098151
1983,"4 - Loughborough",17322.2794275808,39946.8832885987
1984,"4 - Loughborough",22845.390531862,112864.338909355
1985,"4 - Loughborough",50711.0097181284,28142.5061002924
1986,"4 - Loughborough",40612.2542216133,148981.82515556
1987,"4 - Loughborough",19338.6010499012,14205.6800094875
1988,"4 - Loughborough",92171.1541435174,57286.4104591443
1989,"4 - Loughborough",12597.8676314608,29332.4521665697
1990,"4 - Loughborough",107922.986056746,23655.8048703469
1991,"4 - Loughborough",15785.3957932476,23443.2788545787
1992,"4 - Loughborough",39196.5937980348,18729.2258694168
1993,"4 - Loughborough",23741.0234715476,14145.7109853566
1994,"4 - Loughborough",17797.435919738,53604.5349426192
1995,"4 - Loughborough",28196.7558704199,13369.0102866127
1996,"4 - Loughborough",15108.2895598453,7395.09308328577
1997,"4 - Loughborough",8283.04179612433,44554.1552381673
1998,"4 - Loughborough",46302.5661266817,54205.0737835905
1999,"4 - Loughborough",7819.43644579214,32304.2919790907
2000,"4 - Loughborough",4827.08274127219,18165.4483524464
2001,"4 - Loughborough",49981.791121619,22445.8723975884
2002,"4 - Loughborough",48903.3048690502,17811.0973262378
2003,"4 - Loughborough",14912.5198902125,31408.7594649014
2004,"4 - Loughborough",17312.5377117946,15522.4501040077
2005,"4 - Loughborough",18068.1882203189,52765.6880797254
2006,"4 - Loughborough",11258.9665530035,5435.75330284208
2007,"4 - Loughborough",25801.792825461,NA
2008,"4 - Loughborough",22726.0152901392,NA
2009,"4 - Loughborough",39790.3283035324,NA
2010,"4 - Loughborough",3781.43130197467,NA
2011,"4 - Loughborough",70549.8573253181,NA
2012,"4 - Loughborough",34184.7794203859,NA
2013,"4 - Loughborough",17381.8393826809,NA
1953,"5 - Bute Inlet",25500,NA
1954,"5 - Bute Inlet",18000,NA
1955,"5 - Bute Inlet",7950,29549.3570620314
1956,"5 - Bute Inlet",4850,13988.1163369287
1957,"5 - Bute Inlet",89500,13616.4874724986
1958,"5 - Bute Inlet",20750,3153.27935383019
1959,"5 - Bute Inlet",16150,15483.7467574917
1960,"5 - Bute Inlet",5600,24179.8137473725
1961,"5 - Bute Inlet",8150,7922.36907459292
1962,"5 - Bute Inlet",8500,11627.3727836725
1963,"5 - Bute Inlet",8150,6926.68655164485
1964,"5 - Bute Inlet",23446.1842477849,30525.5187746664
1965,"5 - Bute Inlet",2662.01218533802,10471.7105527811
1966,"5 - Bute Inlet",12150,21348.6175528673
1967,"5 - Bute Inlet",11275,8853.30006906789
1968,"5 - Bute Inlet",19146.0107176235,240587.966791107
1969,"5 - Bute Inlet",7998.94149773577,98644.6964155335
1970,"5 - Bute Inlet",11225,30001.4134211581
1971,"5 - Bute Inlet",5194.11785567258,15194.124818024
1972,"5 - Bute Inlet",155823.535670177,30179.3627772374
1973,"5 - Bute Inlet",44150.0017732169,81536.0600909192
1974,"5 - Bute Inlet",43718.4308899744,264657.43896416
1975,"5 - Bute Inlet",7271.76499794161,59785.8133899986
1976,"5 - Bute Inlet",15582.3535670177,164708.323135825
1977,"5 - Bute Inlet",88300.0035464338,191277.898767966
1978,"5 - Bute Inlet",176600.007092868,283516.824043555
1979,"5 - Bute Inlet",36358.824989708,119776.279893141
1980,"5 - Bute Inlet",148483.968145633,69188.3026375715
